,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,City,Country
50,Purplle,2012,Mumbai,Cosmetics,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000,Series C,Mumbai,India
51,Freightwalla,2017,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000,Series A,Mumbai,India
52,TapChief,2016,Banglore,Edtech,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000,Pre series A,Banglore,India
53,eJOHRI,2015,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000,Pre series A,Mumbai,India
54,Ninjacart,2015,Banglore,B2B Supply Chain,"It connects producers of food directly to retailers, restuarants and service providers.","Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart", ,Series A,Banglore,India
55,Binca Games,2014,Mumbai,Games,It offers games that are available across India and UK.,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar, ,Series A,Mumbai,India
56,KredX,2015,Banglore,Edtech,Invoice discounting platform,Manish Kumar,Tiger Global Management,26000000,Series B,Banglore,India
57,m.Paani,2015,Mumbai,Edtech,It digitizes and organises local retailers,Akanksha Hazari,"AC Ventures, Henkel",5500000,Series A,Mumbai,India
58,Origo,2010,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000,Series A,Gurugram,India
59,WishADish,2015,Delhi,Food & tech,Provides management solution for restaurants,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000,Series A,Delhi,India
60,Ecom Express,2012,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000,Series A,Gurugram,India
61,Stanza Living,2017,Delhi,Accomodation,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000,Series A,Delhi,India
62,PiBeam,2015,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Visakh Sasikumar,GAIL (India) Ltd,50000000,Series A,Chennai,India
63,Euler Motors,2015,Delhi,Automotive tech,It is offering mobility as a service,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000,Series A,Delhi,India
64,Moms Co,2015,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000,Series B,New,Delhi
65,Cubical Labs,2013,Banglore,IoT,Home automation solution provider,"Dhruv Ratra, Swati Vyas",Rockstud Capital, ,Series B,Banglore,India
66,Lawyered,2015,Delhi,Legal tech,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000,Series A,Delhi,India
67,Cuemath,2013,Banglore,Edtech,It helps students to learn math online,Manan Khurma,"Manta Ray Ventures Limited, Googles Capital G, Sequoia India.",5500000,Series A,Banglore,India
68,Licious,2015,Banglore,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000,Series D,Banglore,India
69,Nivesh.com,2016,Noida,Mutual Funds,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000,Series A,Noida,India
70,Zebu,2015,Banglore,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Undisclosed,4000000,Seed round,Banglore,India
71,Smart Institute,2015,Surat,Edtech,A platform to learn online,,HNI investors,1500000,Series A,Surat,India
72,CarDekho,2008,Jaipur,Automobile,Enables people to buy and sell new/old cars.,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000,Series D,Jaipur,India
73,Shadowfax,2015,Banglore,Logistics,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000,Series D,Banglore,India
74,Credr,2014,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000,Series A,Mumbai,India
75,Sportido,2015,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.", ,Series B,Noida,India
76,Phable,2018,Banglore,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000,Series A,Banglore,India
77,Sarva,2015,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000,Series A,Chennai,India
78,IndyFint,2019,Banglore,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Saravanan Adiseshan,2100000,Series A,Banglore,India
79,Zolostays,2015,Banglore,Accomodation,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000,Series A,Banglore,India
80,Ola,2010,Banglore,Transportation,It enables one to book cab online,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000,Series A,Banglore,India
81,Zoomcar,2013,Banglore,Transport & Rentals,A car rental service platform,"Greg Moran, David Back",Zoomcar Inc,4800000,Series A,Banglore,India
82,Kratikal,2015,Uttar pradesh,Technology,Provides cyber security solutions,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000,Pre-series A,Uttar,pradesh
83,Froogal,2015,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000,Pre series A,Hyderabad,India
84,Infra.Market,2015,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000,Series A,Mumbai,India
85,Oyo,2013,Gurugram,Hospitality,Provides rooms for comfortable stay,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000,Series A,Gurugram,India
86,GoMechanic,2016,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000,Series B,Delhi,India
87,Spinny,2015,Delhi,Automobile,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000,Series A,Delhi,India
88,Ess Kay Fincorp,2015,Rajasthan,Banking,Organised Non-Banking Finance Company,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000,Series A,Rajasthan,India
